2.5n 0.6272m
1.59248e+06n 3.94189m
1.59248e+06n 3.95193m
1.59249e+06n 1.00095m
1.59249e+06n 0.0535628m
1.59255e+06n 0m
1.59345e+06n 0.140514m
1.59346e+06n 2.05084m
1.59346e+06n 7.7701m
1.59347e+06n 8.03106m
1.59347e+06n 1.97054m
1.59348e+06n 0.108731m
1.59353e+06n 0m
1.59586e+06n 1.27936m
1.59586e+06n 21.543m
1.59587e+06n 84.7481m
1.59587e+06n 85.5041m
1.59588e+06n 21.5281m
1.59588e+06n 1.35246m
1.59589e+06n 0.016615m
1.59594e+06n 0m
1.59818e+06n 0.10793m
1.59819e+06n 2.00584m
1.59819e+06n 7.88555m
1.5982e+06n 7.7826m
1.5982e+06n 2.01747m
1.59821e+06n 0.119554m
1.59821e+06n 0.00166047m
1.59827e+06n 0m
1.59926e+06n 0m
1.60146e+06n 0m
1.60153e+06n 0.174213m
1.60153e+06n 2.57504m
1.60154e+06n 9.74433m
1.60154e+06n 9.75926m
1.60155e+06n 2.50369m
1.60155e+06n 0.12112m
1.60156e+06n 0.0066367m
1.60161e+06n 0m
1.60579e+06n 0.026544m
1.6058e+06n 0.31521m
1.6058e+06n 1.29402m
1.60581e+06n 1.30563m
1.60581e+06n 0.353368m
1.60582e+06n 0.023226m
1.60587e+06n 0m
1.60535e+06n 0.240256m
1.60535e+06n 3.94352m
1.60536e+06n 15.8669m
1.60536e+06n 15.446m
1.60537e+06n 4.04791m
1.60537e+06n 0.218716m
1.60538e+06n 0.00165694m
1.60543e+06n 0m
1.60813e+06n 0.604563m
1.60813e+06n 9.92738m
1.60814e+06n 39.0026m
1.60814e+06n 39.0851m
1.60815e+06n 9.86461m
1.60815e+06n 0.602911m
1.60816e+06n 0.0132145m
1.60821e+06n 0m
1.61096e+06n 0.0825564m
1.61096e+06n 1.35062m
1.61097e+06n 5.11685m
1.61097e+06n 5.23408m
1.61098e+06n 1.33741m
1.61098e+06n 0.0825564m
1.61099e+06n 0.00495339m
1.61104e+06n 0m
1.61235e+06n 0.0478729m
1.61235e+06n 0.668569m
1.61236e+06n 2.57193m
1.61236e+06n 2.61815m
1.61237e+06n 0.655363m
1.61237e+06n 0.0396189m
1.61238e+06n 0.00165079m
1.61243e+06n 0m
1.61591e+06n 0.385489m
1.61591e+06n 6.6258m
1.61592e+06n 25.7207m
1.61592e+06n 26.0189m
1.61593e+06n 6.7197m
1.61593e+06n 0.413495m
1.61594e+06n 0.00658956m
1.61599e+06n 0m
1.61901e+06n 0m
1.62101e+06n 0.116886m
1.62102e+06n 2.06774m
1.62102e+06n 8.44381m
1.62103e+06n 8.47674m
1.62103e+06n 2.18462m
1.62104e+06n 0.108655m
1.62104e+06n 0.00164629m
1.62109e+06n 0m
1.62331e+06n 6.75132m
1.62331e+06n 110.072m
1.62332e+06n 440.504m
1.62332e+06n 440.42m
1.62333e+06n 110.741m
1.62333e+06n 6.73384m
1.62334e+06n 0.100102m
1.62334e+06n 0.00158892m
1.62339e+06n 0m
1.62678e+06n 0.136552m
1.62678e+06n 2.23406m
1.62679e+06n 8.59167m
1.62679e+06n 8.90924m
1.6268e+06n 2.22135m
1.6268e+06n 0.131789m
1.62681e+06n 0.00158782m
1.62686e+06n 0m
1.62985e+06n 0.107907m
1.62986e+06n 1.88838m
1.62986e+06n 7.37895m
1.62987e+06n 7.55986m
1.62987e+06n 1.98676m
1.62988e+06n 0.117429m
1.62994e+06n 0m
1.63042e+06n 0.033316m
1.63043e+06n 0.750404m
1.63043e+06n 3.09839m
1.63044e+06n 3.22214m
1.63044e+06n 0.778961m
1.63045e+06n 0.0428349m
1.63045e+06n 0.00475944m
1.6305e+06n 0m
1.63168e+06n 0.0333094m
1.63169e+06n 0.64081m
1.63169e+06n 2.50455m
1.6317e+06n 2.49979m
1.6317e+06n 0.629707m
1.63171e+06n 0.0348956m
1.63176e+06n 0m
1.63209e+06n 0.0491589m
1.6321e+06n 0.7913m
1.6321e+06n 3.1652m
1.63211e+06n 3.1319m
1.63211e+06n 0.740555m
1.63212e+06n 0.0507447m
1.63217e+06n 0m
1.63397e+06n 0.00475708m
1.63398e+06n 0.168083m
1.63398e+06n 0.580363m
1.63399e+06n 0.658062m
1.63399e+06n 0.166498m
1.634e+06n 0.00792846m
1.63405e+06n 0m
1.6353e+06n 0.104594m
1.63531e+06n 1.89695m
1.63532e+06n 7.69396m
1.63532e+06n 7.39603m
1.63532e+06n 1.80503m
1.63533e+06n 0.117272m
1.63534e+06n 0.0031695m
1.63539e+06n 0m
1.63872e+06n 0.00316934m
1.63873e+06n 0.14579m
1.63873e+06n 0.635453m
1.63874e+06n 0.648131m
1.63874e+06n 0.144205m
1.63875e+06n 0.00792336m
1.63881e+06n 0m
1.64128e+06n 0.0285199m
1.64128e+06n 0.451564m
1.64129e+06n 1.85537m
1.64129e+06n 1.90925m
1.6413e+06n 0.470578m
1.6413e+06n 0.0380265m
1.64136e+06n 0m
1.64377e+06n 0.159909m
1.64377e+06n 2.33373m
1.64378e+06n 9.34441m
1.64378e+06n 9.23516m
1.64379e+06n 2.48572m
1.64379e+06n 0.183658m
1.6438e+06n 0.00316652m
1.64385e+06n 0m
1.64582e+06n 0.0221635m
1.64582e+06n 0.327703m
1.64583e+06n 1.29023m
1.64583e+06n 1.21107m
1.64584e+06n 0.30079m
1.64584e+06n 0.0142479m
1.6459e+06n 0m
1.64708e+06n 0.107603m
1.64709e+06n 1.35612m
1.64709e+06n 5.5384m
1.6471e+06n 5.65075m
1.6471e+06n 1.50328m
1.64711e+06n 0.0822848m
1.64711e+06n 0.0015824m
1.64717e+06n 0m
1.64969e+06n 0.0284804m
1.64969e+06n 0.314866m
1.6497e+06n 1.22782m
1.6497e+06n 1.2563m
1.64971e+06n 0.318031m
1.64971e+06n 0.0174047m
1.64972e+06n 0.00158224m
1.64977e+06n 0m
1.6522e+06n 0.177045m
1.6522e+06n 3.06983m
1.65221e+06n 11.7482m
1.65221e+06n 11.8557m
1.65222e+06n 3.01925m
1.65222e+06n 0.161237m
1.65223e+06n 0.00316152m
1.65228e+06n 0m
1.65588e+06n 0.0442525m
1.65588e+06n 0.616374m
1.65589e+06n 2.43073m
1.65589e+06n 2.56665m
1.6559e+06n 0.621116m
1.6559e+06n 0.0426721m
1.65596e+06n 0m
1.65831e+06n 0.298219m
1.65832e+06n 5.2275m
1.65832e+06n 20.495m
1.65833e+06n 20.5013m
1.65833e+06n 5.24801m
1.65834e+06n 0.295063m
1.65834e+06n 0.00473363m
1.65839e+06n 0m
1.66083e+06n 0.00946679m
1.66084e+06n 0.183025m
1.66084e+06n 0.604297m
1.66085e+06n 0.626386m
1.66085e+06n 0.142002m
1.66086e+06n 0.0110446m
1.66092e+06n 0m
1.65995e+06n 0.0599356m
1.65995e+06n 1.05518m
1.65996e+06n 4.32798m
1.65996e+06n 4.36268m
1.65997e+06n 1.15297m
1.65997e+06n 0.0820172m
1.66003e+06n 0m
1.66187e+06n 0.0930213m
1.66187e+06n 1.29284m
1.66188e+06n 4.98689m
1.66188e+06n 4.85287m
1.66189e+06n 1.30703m
1.66189e+06n 0.0788316m
1.66195e+06n 0m
1.6626e+06n 0.03941m
1.6626e+06n 0.458732m
1.66261e+06n 1.90902m
1.66261e+06n 1.84123m
1.66262e+06n 0.446121m
1.66262e+06n 0.031528m
1.66268e+06n 0m
1.66678e+06n 0.0504324m
1.66679e+06n 0.761213m
1.66679e+06n 3.08425m
1.6668e+06n 3.10159m
1.6668e+06n 0.813222m
1.66681e+06n 0.0661925m
1.66686e+06n 0m
1.66818e+06n 0.107111m
1.66818e+06n 1.66494m
1.66819e+06n 6.79208m
1.6682e+06n 6.79208m
1.6682e+06n 1.85554m
1.6682e+06n 0.111836m
1.66821e+06n 0.00157516m
1.66826e+06n 0m
1.67056e+06n 0.177827m
1.67057e+06n 3.06712m
1.67057e+06n 11.8137m
1.67058e+06n 11.7838m
1.67058e+06n 2.86096m
1.67059e+06n 0.19199m
1.67059e+06n 0.00314737m
1.67065e+06n 0m
1.6735e+06n 0.106958m
1.67351e+06n 1.57449m
1.67351e+06n 6.04942m
1.67352e+06n 6.30738m
1.67352e+06n 1.59179m
1.67353e+06n 0.0943748m
1.67353e+06n 0.00314583m
1.67359e+06n 0m
1.67515e+06n 0.205839m
1.67516e+06n 3.24786m
1.67516e+06n 13.0559m
1.67517e+06n 12.993m
1.67517e+06n 3.306m
1.67518e+06n 0.188555m
1.67524e+06n 0m
1.67739e+06n 0.117778m
1.6774e+06n 2.00693m
1.6774e+06n 7.46866m
1.67741e+06n 7.29435m
1.67741e+06n 1.83419m
1.67742e+06n 0.114637m
1.67742e+06n 0.00628147m
1.67748e+06n 0m
1.67777e+06n 0.0423874m
1.67777e+06n 0.938803m
1.67778e+06n 3.67201m
1.67778e+06n 3.74265m
1.67779e+06n 0.963921m
1.67779e+06n 0.0580865m
1.67785e+06n 0m
1.68038e+06n 0.0486551m
1.68038e+06n 0.792608m
1.68039e+06n 3.08097m
1.68039e+06n 3.0794m
1.6804e+06n 0.792608m
1.6804e+06n 0.0502246m
1.68041e+06n 0.00156952m
1.68046e+06n 0m
1.68246e+06n 0.0329518m
1.68246e+06n 0.728079m
1.68247e+06n 3.11316m
1.68247e+06n 3.1775m
1.68248e+06n 0.76103m
1.68248e+06n 0.0329518m
1.68254e+06n 0m
1.68395e+06n 0.0141215m
1.68396e+06n 0.128663m
1.68396e+06n 0.668419m
1.68397e+06n 0.611933m
1.68397e+06n 0.136508m
1.68398e+06n 0.00941435m
1.68403e+06n 0m
1.68524e+06n 0.119167m
1.68525e+06n 2.21242m
1.68525e+06n 8.76188m
1.68526e+06n 8.56745m
1.68526e+06n 2.15754m
1.68527e+06n 0.13171m
1.68527e+06n 0.00156798m
1.68532e+06n 0m
1.68742e+06n 0.0297858m
1.68743e+06n 0.649017m
1.68743e+06n 2.48163m
1.68744e+06n 2.47066m
1.68744e+06n 0.600419m
1.68745e+06n 0.0391919m
1.6875e+06n 0m
1.6901e+06n 0.0454537m
1.69011e+06n 0.606571m
1.69011e+06n 2.55167m
1.69012e+06n 2.41531m
1.69012e+06n 0.609706m
1.69013e+06n 0.0407516m
1.69019e+06n 0m
1.6907e+06n 0.14721m
1.6907e+06n 2.56052m
1.69071e+06n 10.4629m
1.69071e+06n 10.5866m
1.69072e+06n 2.70929m
1.69072e+06n 0.151908m
1.69078e+06n 0m
1.69479e+06n 0.0704419m
1.6948e+06n 1.40258m
1.6948e+06n 5.44594m
1.69481e+06n 5.72927m
1.69481e+06n 1.36031m
1.69482e+06n 0.0782687m
1.69482e+06n 0.00156537m
1.69488e+06n 0m
1.69941e+06n 0.0125224m
1.69941e+06n 0.161226m
1.69942e+06n 0.610466m
1.69942e+06n 0.644903m
1.69943e+06n 0.131485m
1.69943e+06n 0.0046959m
1.69949e+06n 0m
1.7039e+06n 0.0375598m
1.7039e+06n 0.640082m
1.70391e+06n 2.50712m
1.70391e+06n 2.45547m
1.70392e+06n 0.588437m
1.70392e+06n 0.0312998m
1.70398e+06n 0m
1.70611e+06n 0.312479m
1.70611e+06n 5.12153m
1.70612e+06n 21.0205m
1.70612e+06n 21.0283m
1.70613e+06n 5.28402m
1.70613e+06n 0.345289m
1.70614e+06n 0.00312479m
1.70619e+06n 0m
1.70868e+06n 0.0437385m
1.70869e+06n 0.568601m
1.70869e+06n 2.51809m
1.7087e+06n 2.4353m
1.7087e+06n 0.632646m
1.70871e+06n 0.0499869m
1.70876e+06n 0m
1.70941e+06n 0.0312357m
1.70941e+06n 0.602849m
1.70942e+06n 2.452m
1.70942e+06n 2.50354m
1.70943e+06n 0.632523m
1.70943e+06n 0.0249886m
1.70949e+06n 0m
1.71047e+06n 0.195033m
1.71048e+06n 3.10336m
1.71048e+06n 12.2995m
1.71049e+06n 12.1654m
1.71049e+06n 3.20478m
1.7105e+06n 0.2356m
1.7105e+06n 0.00156026m
1.71056e+06n 0m
1.71207e+06n 0.0530334m
1.71207e+06n 0.929645m
1.71208e+06n 3.60627m
1.71208e+06n 3.75913m
1.71209e+06n 0.940563m
1.71209e+06n 0.0701913m
1.71215e+06n 0m
1.71433e+06n 0.239918m
1.71434e+06n 3.77637m
1.71434e+06n 15.5838m
1.71435e+06n 15.2675m
1.71435e+06n 3.81532m
1.71436e+06n 0.255497m
1.71436e+06n 0.00467373m
1.71442e+06n 0m
1.71542e+06n 0.00778916m
1.71542e+06n 0.143321m
1.71543e+06n 0.605997m
1.71544e+06n 0.651174m
1.71544e+06n 0.143321m
1.71544e+06n 0.00623133m
1.7155e+06n 0m
1.71661e+06n 0.0327081m
1.71661e+06n 0.660393m
1.71662e+06n 2.45622m
1.71662e+06n 2.41884m
1.71663e+06n 0.623012m
1.71663e+06n 0.0389382m
1.71669e+06n 0m
1.71928e+06n 0.197604m
1.71928e+06n 3.33905m
1.71929e+06n 12.7494m
1.71929e+06n 12.9003m
1.7193e+06n 3.29859m
1.7193e+06n 0.189825m
1.71936e+06n 0m
1.72165e+06n 0.0388909m
1.72165e+06n 0.630033m
1.72166e+06n 2.44391m
1.72166e+06n 2.42213m
1.72167e+06n 0.647145m
1.72167e+06n 0.0404466m
1.72173e+06n 0m
1.72279e+06n 0m
1.72442e+06n 0.0528762m
1.72442e+06n 0.889565m
1.72443e+06n 3.61425m
1.72443e+06n 3.734m
1.72444e+06n 0.970435m
1.72444e+06n 0.0668729m
1.72445e+06n 0.00155518m
1.7245e+06n 0m
1.72601e+06n 0.380281m
1.72601e+06n 6.21953m
1.72602e+06n 24.5289m
1.72602e+06n 24.5522m
1.72603e+06n 6.00999m
1.72603e+06n 0.383385m
1.72604e+06n 0.009313m
1.72609e+06n 0m
1.7277e+06n 0.11015m
1.72771e+06n 1.49556m
1.72771e+06n 6.16532m
1.72772e+06n 6.10947m
1.72772e+06n 1.5328m
1.72773e+06n 0.0977391m
1.72779e+06n 0m
1.72908e+06n 0.0496332m
1.72908e+06n 0.694865m
1.72909e+06n 3.0602m
1.72909e+06n 3.16877m
1.7291e+06n 0.741397m
1.7291e+06n 0.038776m
1.72911e+06n 0.00155104m
1.72916e+06n 0m
1.73096e+06n 0.2726m
1.73096e+06n 4.37399m
1.73097e+06n 17.6493m
1.73097e+06n 17.9079m
1.73098e+06n 4.45298m
1.73098e+06n 0.250916m
1.73099e+06n 0.00309772m
1.73104e+06n 0m
1.73353e+06n 0.0402626m
1.73353e+06n 0.599294m
1.73354e+06n 2.46067m
1.73354e+06n 2.41421m
1.73355e+06n 0.638008m
1.73355e+06n 0.0418112m
1.73361e+06n 0m
1.73722e+06n 0.0510902m
1.73723e+06n 0.724552m
1.73723e+06n 3.11341m
1.73724e+06n 3.07161m
1.73724e+06n 0.746227m
1.73725e+06n 0.0340601m
1.7373e+06n 0m
1.7398e+06n 0.0510779m
1.73981e+06n 0.730568m
1.73981e+06n 3.13432m
1.73982e+06n 3.04455m
1.73982e+06n 0.721281m
1.73983e+06n 0.0572691m
1.73989e+06n 0m
1.73975e+06n 0.0216663m
1.73975e+06n 0.439515m
1.73976e+06n 1.87258m
1.73976e+06n 1.84782m
1.73977e+06n 0.442611m
1.73977e+06n 0.0185711m
1.73983e+06n 0m
1.74082e+06n 0.11909m
1.74082e+06n 2.05855m
1.74083e+06n 7.88465m
1.74083e+06n 7.92487m
1.74084e+06n 1.98895m
1.74084e+06n 0.126823m
1.74085e+06n 0.00154662m
1.7409e+06n 0m
1.74142e+06n 0.0510211m
1.74142e+06n 0.998777m
1.74143e+06n 4.19301m
1.74143e+06n 4.41874m
1.74144e+06n 1.10391m
1.74144e+06n 0.0556594m
1.74145e+06n 0.00154609m
1.7415e+06n 0m
1.74254e+06n 0.109709m
1.74254e+06n 1.80479m
1.74255e+06n 7.36442m
1.74255e+06n 7.37987m
1.74256e+06n 1.78316m
1.74256e+06n 0.0973475m
1.74257e+06n 0.0030904m
1.74262e+06n 0m
1.74455e+06n 0.0633256m
1.74456e+06n 1.34219m
1.74456e+06n 5.51242m
1.74457e+06n 5.51242m
1.74457e+06n 1.3839m
1.74458e+06n 0.0834045m
1.74458e+06n 0.00154453m
1.74463e+06n 0m
1.74591e+06n 0.175923m
1.74591e+06n 2.90582m
1.74592e+06n 10.8486m
1.74592e+06n 10.9319m
1.74593e+06n 2.73144m
1.74593e+06n 0.175923m
1.74594e+06n 0.00462956m
1.74599e+06n 0m
1.74745e+06n 0.0632463m
1.74746e+06n 1.24641m
1.74746e+06n 4.77741m
1.74747e+06n 4.92241m
1.74747e+06n 1.25567m
1.74748e+06n 0.0740444m
1.74753e+06n 0m
1.74907e+06n 0.0462666m
1.74907e+06n 0.815834m
1.74908e+06n 3.03355m
1.74908e+06n 2.98728m
1.74909e+06n 0.768026m
1.74909e+06n 0.0586044m
1.74915e+06n 0m
1.75071e+06n 4.3549m
1.75072e+06n 70.7565m
1.75072e+06n 280.827m
1.75073e+06n 280.809m
1.75073e+06n 70.4881m
1.75074e+06n 4.36696m
1.75074e+06n 0.0708726m
1.7508e+06n 0m
1.75357e+06n 0.164225m
1.75358e+06n 2.72101m
1.75358e+06n 10.6174m
1.75359e+06n 10.7801m
1.75359e+06n 2.65472m
1.7536e+06n 0.179291m
1.7536e+06n 0.0030133m
1.75365e+06n 0m
1.75555e+06n 0.0948788m
1.75556e+06n 1.33734m
1.75556e+06n 5.23189m
1.75557e+06n 5.44574m
1.75557e+06n 1.34788m
1.75558e+06n 0.0963848m
1.75564e+06n 0m
1.75821e+06n 0.0722614m
1.75822e+06n 1.22092m
1.75822e+06n 4.73463m
1.75823e+06n 4.71355m
1.75823e+06n 1.21941m
1.75824e+06n 0.0797886m
1.75824e+06n 0.00301089m
1.7583e+06n 0m
1.75968e+06n 0.0647159m
1.75969e+06n 0.967728m
1.75969e+06n 3.44499m
1.7597e+06n 3.58646m
1.7597e+06n 0.907528m
1.75971e+06n 0.0586958m
1.75976e+06n 0m
1.76107e+06n 0m
1.76253e+06n 0.0225732m
1.76254e+06n 0.329569m
1.76254e+06n 1.21143m
1.76255e+06n 1.14371m
1.76255e+06n 0.288937m
1.76256e+06n 0.012039m
1.76256e+06n 0.00150488m
1.76262e+06n 0m
1.76527e+06n 0.02257m
1.76527e+06n 0.449895m
1.76528e+06n 1.81613m
1.76528e+06n 1.76347m
1.76529e+06n 0.437858m
1.76529e+06n 0.0240747m
1.76535e+06n 0m
1.76755e+06n 0.0421188m
1.76755e+06n 0.895024m
1.76756e+06n 3.61921m
1.76756e+06n 3.4748m
1.76757e+06n 0.944664m
1.76757e+06n 0.04964m
1.76763e+06n 0m
1.77069e+06n 0.015041m
1.77069e+06n 0.296308m
1.7707e+06n 1.16417m
1.7707e+06n 1.23186m
1.77071e+06n 0.282771m
1.77071e+06n 0.0180492m
1.77077e+06n 0m
1.77211e+06n 0.336381m
1.77212e+06n 5.0277m
1.77212e+06n 19.9726m
1.77213e+06n 20.2474m
1.77213e+06n 5.16736m
1.77214e+06n 0.297337m
1.77214e+06n 0.0030034m
1.7722e+06n 0m
1.77409e+06n 0.0390388m
1.7741e+06n 0.415913m
1.7741e+06n 1.78978m
1.77411e+06n 1.80329m
1.77411e+06n 0.421919m
1.77412e+06n 0.0330328m
1.77412e+06n 0.00150149m
1.77418e+06n 0m
1.7755e+06n 0m
1.77664e+06n 0.0405307m
1.77664e+06n 0.723549m
1.77665e+06n 2.93923m
1.77665e+06n 3.05482m
1.77666e+06n 0.719045m
1.77666e+06n 0.0285216m
1.77672e+06n 0m
1.7783e+06n 0.01501m
1.7783e+06n 0.318212m
1.77831e+06n 1.18879m
1.77831e+06n 1.13175m
1.77832e+06n 0.327218m
1.77832e+06n 0.019513m
1.77838e+06n 0m
1.7816e+06n 0.0720141m
1.78161e+06n 1.43428m
1.78161e+06n 5.79864m
1.78162e+06n 6.08069m
1.78162e+06n 1.5318m
1.78163e+06n 0.0855168m
1.78168e+06n 0m
1.78317e+06n 0.0390003m
1.78317e+06n 0.576005m
1.78318e+06n 2.37152m
1.78318e+06n 2.42252m
1.78319e+06n 0.568505m
1.78319e+06n 0.0210002m
1.78325e+06n 0m
1.78447e+06n 0.0509861m
1.78447e+06n 0.860766m
1.78448e+06n 3.56303m
1.78448e+06n 3.57653m
1.78449e+06n 0.908753m
1.78449e+06n 0.0374898m
1.78455e+06n 0m
1.78654e+06n 0.0269889m
1.78655e+06n 0.430322m
1.78655e+06n 1.78126m
1.78656e+06n 1.82775m
1.78656e+06n 0.397336m
1.78657e+06n 0.0329864m
1.78663e+06n 0m
1.78905e+06n 0.200729m
1.78906e+06n 2.89709m
1.78906e+06n 12.0063m
1.78907e+06n 11.7097m
1.78907e+06n 2.94502m
1.78908e+06n 0.194737m
1.78908e+06n 0.00149798m
1.78914e+06n 0m
1.78905e+06n 0.0718726m
1.78905e+06n 1.31317m
1.78906e+06n 5.29761m
1.78906e+06n 5.359m
1.78907e+06n 1.36408m
1.78907e+06n 0.0673806m
1.78908e+06n 0.00299469m
1.78913e+06n 0m
1.78916e+06n 0.00748638m
1.78916e+06n 0.160209m
1.78917e+06n 0.576451m
1.78917e+06n 0.598911m
1.78918e+06n 0.149728m
1.78918e+06n 0.00449183m
1.78924e+06n 0m
1.79196e+06n 0.17201m
1.79197e+06n 3.23678m
1.79197e+06n 12.7332m
1.79198e+06n 13.2059m
1.79198e+06n 3.37289m
1.79199e+06n 0.177993m
1.79199e+06n 0.00448721m
1.79205e+06n 0m
1.79502e+06n 0.0403755m
1.79502e+06n 0.734236m
1.79503e+06n 2.96685m
1.79503e+06n 2.96535m
1.79504e+06n 0.716291m
1.79504e+06n 0.0508432m
1.7951e+06n 0m
1.79521e+06n 0.0284084m
1.79521e+06n 0.420145m
1.79522e+06n 1.76282m
1.79522e+06n 1.81066m
1.79523e+06n 0.448554m
1.79523e+06n 0.0149518m
1.79529e+06n 0m
1.79586e+06n 0m
1.79598e+06n 0.0493294m
1.79599e+06n 0.73994m
1.79599e+06n 2.95229m
1.796e+06n 2.9209m
1.796e+06n 0.768342m
1.79601e+06n 0.0433501m
1.79606e+06n 0m
1.79987e+06n 0.192653m
1.79988e+06n 2.98538m
1.79988e+06n 11.9997m
1.79989e+06n 11.6368m
1.79989e+06n 2.84201m
1.7999e+06n 0.210574m
1.79995e+06n 0m
1.8012e+06n 0.0373289m
1.8012e+06n 0.598755m
1.80121e+06n 2.35769m
1.80121e+06n 2.35769m
1.80122e+06n 0.580838m
1.80122e+06n 0.0388221m
1.80123e+06n 0.00149316m
1.80128e+06n 0m
1.80425e+06n 0.144735m
1.80425e+06n 2.17699m
1.80426e+06n 8.87807m
1.80426e+06n 8.76317m
1.80427e+06n 2.25607m
1.80427e+06n 0.161148m
1.80428e+06n 0.00149211m
1.80433e+06n 0m
1.80698e+06n 0.0626512m
1.80698e+06n 0.878608m
1.80699e+06n 3.42642m
1.807e+06n 3.5741m
1.807e+06n 0.936784m
1.807e+06n 0.0716013m
1.80706e+06n 0m
1.81017e+06n 0.162489m
1.81017e+06n 2.1377m
1.81018e+06n 8.09164m
1.81018e+06n 8.26307m
1.81019e+06n 2.08999m
1.81019e+06n 0.120749m
1.8102e+06n 0.00298144m
1.81025e+06n 0m
1.8124e+06n 0.145989m
1.8124e+06n 2.27176m
1.81241e+06n 8.82636m
1.81241e+06n 8.76529m
1.81242e+06n 2.21814m
1.81242e+06n 0.113216m
1.81243e+06n 0.00148968m
1.81248e+06n 0m
1.81438e+06n 0.035744m
1.81439e+06n 0.774454m
1.81439e+06n 2.94739m
1.8144e+06n 2.85654m
1.8144e+06n 0.771475m
1.81441e+06n 0.0610627m
1.81447e+06n 0m
1.8156e+06n 0.14289m
1.8156e+06n 1.98111m
1.81561e+06n 7.4511m
1.81561e+06n 7.75177m
1.81562e+06n 1.88138m
1.81562e+06n 0.138424m
1.81563e+06n 0.00148843m
1.81568e+06n 0m
1.81811e+06n 0.0267868m
1.81812e+06n 0.555083m
1.81812e+06n 2.35575m
1.81813e+06n 2.40635m
1.81813e+06n 0.592287m
1.81814e+06n 0.0163697m
1.81819e+06n 0m
1.821e+06n 0.240824m
1.821e+06n 3.32248m
1.82101e+06n 13.6229m
1.82101e+06n 13.4282m
1.82102e+06n 3.3537m
1.82102e+06n 0.222985m
1.82108e+06n 0m
1.82122e+06n 0.160415m
1.82123e+06n 2.66022m
1.82123e+06n 10.4522m
1.82124e+06n 10.6201m
1.82124e+06n 2.6721m
1.82125e+06n 0.161901m
1.82125e+06n 0.00594131m
1.8213e+06n 0m
1.82358e+06n 0.0341546m
1.82359e+06n 0.749916m
1.82359e+06n 2.94472m
1.8236e+06n 2.88829m
1.8236e+06n 0.754371m
1.82361e+06n 0.0504894m
1.82361e+06n 0.00148498m
1.82367e+06n 0m
1.82502e+06n 0.0371142m
1.82503e+06n 0.887772m
1.82503e+06n 3.57484m
1.82504e+06n 3.48428m
1.82504e+06n 0.865504m
1.82505e+06n 0.0564136m
1.82505e+06n 0.00148457m
1.8251e+06n 0m
1.82678e+06n 0.035623m
1.82678e+06n 0.626372m
1.82679e+06n 2.34667m
1.82679e+06n 2.31253m
1.8268e+06n 0.572937m
1.8268e+06n 0.0415602m
1.82686e+06n 0m
1.82886e+06n 0.252003m
1.82886e+06n 4.21141m
1.82887e+06n 16.269m
1.82887e+06n 16.4128m
1.82888e+06n 4.05576m
1.82888e+06n 0.294991m
1.82889e+06n 0.00148237m
1.82894e+06n 0m
1.83057e+06n 0.98239m
1.83058e+06n 15.8023m
1.83058e+06n 62.0749m
1.83059e+06n 62.3227m
1.83059e+06n 15.6401m
1.8306e+06n 0.976489m
1.8306e+06n 0.0162257m
1.83066e+06n 0m
1.83196e+06n 0.0589861m
1.83196e+06n 0.844975m
1.83197e+06n 3.44036m
1.83197e+06n 3.50967m
1.83198e+06n 0.939353m
1.83198e+06n 0.0516128m
1.83199e+06n 0.00147465m
1.83204e+06n 0m
1.83385e+06n 0.0221177m
1.83385e+06n 0.312597m
1.83386e+06n 1.19141m
1.83386e+06n 1.12211m
1.83387e+06n 0.289005m
1.83387e+06n 0.0103216m
1.83388e+06n 0.00147452m
1.83393e+06n 0m
1.83342e+06n 0.0221157m
1.83342e+06n 0.28603m
1.83343e+06n 1.20162m
1.83343e+06n 1.10726m
1.83344e+06n 0.302248m
1.83344e+06n 0.0280132m
1.83345e+06n 0.00147438m
1.8335e+06n 0m
1.83632e+06n 0.0309563m
1.83632e+06n 0.59554m
1.83633e+06n 2.34678m
1.83633e+06n 2.3173m
1.83634e+06n 0.57048m
1.83634e+06n 0.0353786m
1.8364e+06n 0m
1.83841e+06n 0.0132658m
1.83842e+06n 0.257945m
1.83842e+06n 1.14528m
1.83843e+06n 1.19981m
1.83843e+06n 0.306586m
1.83844e+06n 0.0250575m
1.8385e+06n 0m
1.84066e+06n 0.0574691m
1.84066e+06n 0.903296m
1.84067e+06n 3.49825m
1.84067e+06n 3.49088m
1.84068e+06n 0.844353m
1.84068e+06n 0.0456805m
1.84069e+06n 0.00147357m
1.84074e+06n 0m
1.84197e+06n 0.0117874m
1.84197e+06n 0.294686m
1.84198e+06n 1.17138m
1.84198e+06n 1.15222m
1.84199e+06n 0.30058m
1.84199e+06n 0.0147343m
1.84205e+06n 0m
1.8445e+06n 0.210497m
1.8445e+06n 3.06766m
1.84451e+06n 12.2471m
1.84451e+06n 12.0925m
1.84452e+06n 3.12654m
1.84452e+06n 0.164865m
1.84453e+06n 0.00147201m
1.84458e+06n 0m
1.84686e+06n 0.768223m
1.84686e+06n 12.7417m
1.84687e+06n 50.883m
1.84687e+06n 50.8053m
1.84688e+06n 13.0129m
1.84688e+06n 0.78435m
1.84689e+06n 0.00879645m
1.84694e+06n 0m
1.84978e+06n 0.472482m
1.84978e+06n 7.26715m
1.84979e+06n 27.9905m
1.84979e+06n 28.3621m
