time	V(-1)
3.253920711090402e-008	-1.404815e-004
3.257272051389529e-008	-8.116348e-005
3.260321885878666e-008	-2.286315e-005
3.263276193986960e-008	3.495244e-005
3.267954490945180e-008	1.229491e-004
3.272577175596924e-008	1.998845e-004
3.276782469581790e-008	2.557737e-004
3.280126955376650e-008	2.872130e-004
3.282871769383379e-008	3.020931e-004
3.285691802224103e-008	3.065693e-004
3.288537299617809e-008	2.996979e-004
3.292269174449068e-008	2.758755e-004
3.295323649297535e-008	2.448534e-004
3.298611455874553e-008	2.001890e-004
3.302123514114992e-008	1.434177e-004
3.305301174068360e-008	8.634321e-005
3.308302546020020e-008	2.971941e-005
3.312036569839517e-008	-4.044214e-005
3.315675692982011e-008	-1.051119e-004
3.318904215586779e-008	-1.562747e-004
3.322253613144307e-008	-2.004221e-004
3.325671118940995e-008	-2.349164e-004
3.328588450629307e-008	-2.543216e-004
3.331729486344020e-008	-2.640586e-004
3.334780317793398e-008	-2.628493e-004
3.337936692219941e-008	-2.504998e-004
3.341526418346169e-008	-2.250534e-004
3.344554507658384e-008	-1.953292e-004
3.347653626394238e-008	-1.580793e-004
3.351195746926207e-008	-1.103246e-004
3.354403952496995e-008	-6.463822e-005
3.358065045224535e-008	-1.255593e-005
3.361870551306470e-008	3.847171e-005
3.365374659241413e-008	7.988062e-005
3.369217776239844e-008	1.170993e-004
3.372566148214796e-008	1.415255e-004
3.375465883076874e-008	1.554737e-004
3.378365083213867e-008	1.625144e-004
3.381366644753145e-008	1.629709e-004
3.384572437442036e-008	1.565873e-004
3.387747676628221e-008	1.442327e-004
3.390859928379190e-008	1.273020e-004
3.393863769132280e-008	1.075991e-004
3.396796824794167e-008	8.634177e-005
3.399915795200137e-008	6.296092e-005
3.403639638471830e-008	3.581870e-005
3.407390814158141e-008	1.090922e-005
3.410869740973440e-008	-8.574974e-006
3.414457393928954e-008	-2.424132e-005
3.417420634913018e-008	-3.325327e-005
3.420712084291458e-008	-3.898994e-005
3.423766323290058e-008	-4.064092e-005
3.427281882610129e-008	-3.879185e-005
3.430530111282633e-008	-3.443426e-005
3.433496748357007e-008	-2.879896e-005
3.436770064649897e-008	-2.174906e-005
3.439841157525689e-008	-1.521273e-005
3.442801573302053e-008	-9.710468e-006
3.445815453095288e-008	-5.683823e-006
3.449628467408639e-008	-3.321212e-006
3.453178543550628e-008	-4.156551e-006
3.456730725426777e-008	-8.132645e-006
3.459930237664910e-008	-1.421242e-005
3.463283118093581e-008	-2.263044e-005
3.466634877438592e-008	-3.228607e-005
3.469821724738302e-008	-4.179296e-005
3.473046326558598e-008	-5.067118e-005
3.476949451386993e-008	-5.933543e-005
3.480035239031562e-008	-6.350692e-005
3.483578535562272e-008	-6.442484e-005
3.486554184061068e-008	-6.152705e-005
3.489745974526088e-008	-5.424657e-005
3.492633132330296e-008	-4.400362e-005
3.495583657361728e-008	-2.994209e-005
3.498698439893262e-008	-1.165582e-005
3.502473225396638e-008	1.383240e-005
3.505381227067736e-008	3.512988e-005
3.508274137528063e-008	5.690587e-005
3.511765165388548e-008	8.247528e-005
3.514589744625235e-008	1.014379e-004
3.517671528411457e-008	1.187264e-004
3.521540383031650e-008	1.347989e-004
3.524542068615119e-008	1.419579e-004
3.527322278666787e-008	1.430241e-004
3.530321020754843e-008	1.381201e-004
3.533281225394973e-008	1.271640e-004
3.536268469895356e-008	1.099610e-004
3.539262966214807e-008	8.688067e-005
3.542528475493336e-008	5.622155e-005
3.545249692668530e-008	2.698637e-005
3.548360963459737e-008	-9.436252e-006
3.551750975675061e-008	-5.060853e-005
3.555062480365006e-008	-9.047181e-005
3.558255179117518e-008	-1.267032e-004
3.561266944398643e-008	-1.570208e-004
3.564556965466360e-008	-1.843288e-004
3.567583980290952e-008	-2.028857e-004
3.570542866090901e-008	-2.137211e-004
3.573400483289966e-008	-2.175194e-004
3.575084159834296e-008	-2.160415e-004
3.577078408188068e-008	-2.101861e-004
3.579269408807266e-008	-1.994370e-004
3.581884152080100e-008	-1.807076e-004
3.585335921855168e-008	-1.482611e-004
3.588125579414186e-008	-1.161981e-004
3.591289695799879e-008	-7.433866e-005
3.594311317939935e-008	-3.095205e-005
3.597605620399001e-008	1.814248e-005
3.601134673955489e-008	6.996726e-005
3.604948535510459e-008	1.222313e-004
3.608256554154034e-008	1.619860e-004
3.611308186517939e-008	1.916419e-004
3.614621711719114e-008	2.148291e-004
3.617918877294854e-008	2.278054e-004
3.621209680143760e-008	2.298704e-004
3.624514589137627e-008	2.210250e-004
3.627696261913555e-008	2.026760e-004
3.630644782559643e-008	1.775839e-004
3.633575542663539e-008	1.458996e-004
3.636577860441081e-008	1.080845e-004
3.639374810002117e-008	6.925929e-005
3.642932028828779e-008	1.738646e-005
3.645916437141958e-008	-2.610735e-005
3.649531343352424e-008	-7.598615e-005
3.653411664939233e-008	-1.234517e-004
3.656982947886289e-008	-1.589826e-004
3.660415829560863e-008	-1.833942e-004
3.663973535933906e-008	-1.979027e-004
3.667010157266176e-008	-2.009234e-004
3.670037738320030e-008	-1.947991e-004
3.673178440757749e-008	-1.798515e-004
3.676112946794882e-008	-1.588232e-004
3.678700035093454e-008	-1.350867e-004
3.681259298467678e-008	-1.074123e-004
3.684787828522838e-008	-6.496033e-005
3.688752794138012e-008	-1.466135e-005
3.692590778427332e-008	3.382389e-005
3.696229627465540e-008	7.672464e-005
3.699716036123299e-008	1.124864e-004
3.703189935545034e-008	1.412813e-004
3.706150730673030e-008	1.590938e-004
3.709233293908221e-008	1.703519e-004
3.711967398616456e-008	1.739926e-004
